"clip","n","workers","seconds","duration","results_csv"
"c/clip_0s_30s","6","128","2,405608","2.4056077s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_60s","1","1","4,785363","4.7853632s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","1","2","4,395201","4.3952007s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","1","4","4,220904","4.2209045s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","1","6","4,583667","4.5836672s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","1","8","4,278111","4.2781105s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","1","10","4,16372","4.1637195s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","1","12","3,958281","3.9582808s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","1","16","4,107532","4.1075316s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","1","32","4,140414","4.1404137s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","1","64","4,643206","4.6432065s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","1","128","4,83358","4.8335798s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","6","1","5,732222","5.7322216s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","6","2","5,100803","5.1008027s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","6","4","4,883023","4.8830231s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","6","6","4,899971","4.8999714s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","6","8","5,249364","5.2493643s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","6","10","5,827755","5.8277546s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","6","12","5,359779","5.3597789s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
"c/clip_0s_60s","6","16","5,049131","5.049131s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_60s\results.csv"
